id,terrestrial_date,sol,ls,month,min_temp,pressure,year_month,year_month_ls,terrestrial_days
672,2014-08-25,729,183,7,-75.0,768.0,2014-08-183,2014-08-183,739
1212,2016-03-14,1281,122,5,-83.0,769.0,2016-03-122,2016-03-122,1306
199,2012-10-03,57,181,7,-73.0,769.0,2012-10-181,2012-10-181,48
200,2012-10-04,58,182,7,-74.0,769.0,2012-10-182,2012-10-182,49
559,2014-05-01,616,123,5,-82.0,769.0,2014-05-123,2014-05-123,623
562,2014-05-03,618,124,5,-83.0,769.0,2014-05-124,2014-05-124,625
561,2014-05-02,617,124,5,-84.0,769.0,2014-05-124,2014-05-124,624
1849,2018-01-11,1931,113,4,-79.0,770.0,2018-01-113,2018-01-113,1974
1322,2016-07-14,1400,185,7,-73.0,770.0,2016-07-185,2016-07-185,1428
1319,2016-07-13,1399,184,7,-73.0,770.0,2016-07-184,2016-07-184,1427
1321,2016-07-15,1401,185,7,-73.0,770.0,2016-07-185,2016-07-185,1429
1848,2018-01-10,1930,112,4,-79.0,770.0,2018-01-112,2018-01-112,1973
676,2014-08-26,730,184,7,-76.0,770.0,2014-08-184,2014-08-184,740
558,2014-04-29,615,123,5,-83.0,771.0,2014-04-123,2014-04-123,621
1211,2016-03-13,1280,121,5,-84.0,771.0,2016-03-121,2016-03-121,1305
673,2014-08-27,731,185,7,-75.0,771.0,2014-08-185,2014-08-185,741
1323,2016-07-17,1403,187,7,-75.0,771.0,2016-07-187,2016-07-187,1431
1320,2016-07-16,1402,186,7,-75.0,771.0,2016-07-186,2016-07-186,1430
1846,2018-01-09,1929,112,4,-79.0,771.0,2018-01-112,2018-01-112,1972
201,2012-10-05,59,183,7,-76.0,771.0,2012-10-183,2012-10-183,50
202,2012-10-06,60,183,7,-75.0,772.0,2012-10-183,2012-10-183,51
557,2014-04-28,614,122,5,-82.0,772.0,2014-04-122,2014-04-122,620
1209,2016-03-12,1279,121,5,-83.0,772.0,2016-03-121,2016-03-121,1304
203,2012-10-07,61,184,7,-72.0,772.0,2012-10-184,2012-10-184,52
674,2014-08-29,733,186,7,-74.0,773.0,2014-08-186,2014-08-186,743
1210,2016-03-11,1278,120,5,-83.0,773.0,2016-03-120,2016-03-120,1303
556,2014-04-27,613,122,5,-84.0,773.0,2014-04-122,2014-04-122,619
1847,2018-01-08,1928,111,4,-78.0,773.0,2018-01-111,2018-01-111,1971
